settore_merceologico;insegna;tipo_via;via;civico;zd;superficie_vendita;superficie_altri_usi;superficie_tabelle_speciali;superficie_totale;codice_via;accesso;isolato;ingresso;settore_prevalente
NON SPECIFICATO;NON SPECIFICATA;VIA;ROSSI PELLEGRINO;24;8;152;0;0;152;1510;ACCESSO ESTERNO;191;NON SPECIFICATO;TAPPEZZERIE E MOQUETTES
NON SPECIFICATO;NON SPECIFICATA;VIA;SARPI FRA' PAOLO;53;1;0;0;0;0;7210;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;SASSOFERRATO;1;1;54;0;0;54;4109;ACCESSO ESTERNO;192;NON SPECIFICATO;APPARECCHIATURE ELETTRONICHE
NON SPECIFICATO;NON SPECIFICATA;VIA;SETTEMBRINI LUIGI;34;3;15;0;0;15;2127;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;COMMERCIO AL DETTAGLIO
NON SPECIFICATO;NON SPECIFICATA;VIA;SORESINA GIOVANNI BATTISTA;2;6;71;0;0;71;6207;ACCESSO ESTERNO;240;NON SPECIFICATO;ARREDAMENTO
NON SPECIFICATO;NON SPECIFICATA;VIA;TADINO ALESSANDRO;15;3;240;0;0;240;2109;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;TADINO ALESSANDRO;48;3;50;0;0;50;2109;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
ALIMENTARE;NON SPECIFICATA;VIA;TIEPOLO GIAN BATTISTA;60;3;0;0;0;0;3126;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
NON SPECIFICATO;NON SPECIFICATA;VIA;TONALE;16;2;22;0;0;22;1213;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;NON SPECIFICATA;VIA;TRILUSSA;12;8;184;0;0;184;7367;ACCESSO ESTERNO;063;NON SPECIFICATO;RADIO TV ELETTRODOMESTICI APPARECCHIATURE RADIO
NON SPECIFICATO;NON SPECIFICATA;VIA;VERRI PIETRO;1;1;182;0;0;182;223;ACCESSO INTERNO;363;NON SPECIFICATO;ARMI E MUNIZIONI
NON SPECIFICATO;NON SPECIFICATA;VIA;WASHINGTON GIORGIO;88;6;87;49;0;136;6111;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;OTTICA
NON SPECIFICATO;NON SPECIFICATA;VIA;ZANTE;21;4;46;0;0;46;3364;ACCESSO ESTERNO;059;NON SPECIFICATO;MERCERIA
ALIMENTARE;NON SPECIFICATA;VIA;ZANTE;30;4;0;0;0;0;3364;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VLE;ABRUZZI;19;3;0;0;0;0;2177;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VLE;ARETUSA;34;7;0;0;0;0;6565;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;PANIFICIO
ALIMENTARE;NON SPECIFICATA;VLE;CRISPI FRANCESCO;2;2;18;0;0;18;1063;ACCESSO INTERNO;318;NON SPECIFICATO;ALIMENTARI
NON SPECIFICATO;NON SPECIFICATA;VLE;DELLE RIMEMBRANZE DI LAMBRATE;9;3;50;0;0;50;2664;ACCESSO INTERNO;114;NON SPECIFICATO;METALSIDERURGICI
NON SPECIFICATO;NON SPECIFICATA;VLE;ESPINASSE CARLO;14;8;86;160;0;246;7390;ACCESSO ESTERNO;265;NON SPECIFICATO;AUTOVEICOLI
ALIMENTARE;NON SPECIFICATA;VLE;LUNIGIANA;20;2;41;0;0;41;1214;ACCESSO ESTERNO;311;NON SPECIFICATO;PASTICCERIA
NON SPECIFICATO;NON SPECIFICATA;VLE;PAPINIANO;12;6;18;0;0;18;5097;NON SPECIFICATO;NON SPECIFICATO;NON SPECIFICATO;SETTORE NON SPECIFICATO
NON SPECIFICATO;CARLO ZINI;RIP;DI PTA TICINESE;63;6;39;0;0;39;5150;ACCESSO ESTERNO;071;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
NON SPECIFICATO;COMPUTER CENTER;VIA;SANTA MONICA;3;9;72;10;0;82;1448;ACCESSO ESTERNO;134;NON SPECIFICATO;PROGRAMMAZIONE E SISTEMI INFORMATICI COMPUTER
NON SPECIFICATO;GAVI CAMICERIA;VIA;BELLINI GENTILE;2;6;39;0;0;39;5387;ACCESSO ESTERNO;073;NON SPECIFICATO;ABBIGLIAMENTO
NON SPECIFICATO;LA COMMERCIALESETTEMBRINI;VIA;SETTEMBRINI LUIGI;36;3;107;13;0;120;2127;ACCESSO ESTERNO;041;NON SPECIFICATO;PRODOTTI PER IGIENE PERSONA CASA
